Entity;Code;Year;Government expenditure on education, total (% of GDP);Primary adjusted enrolment ratio (Lee-Lee (2016));Average Total Years of Schooling for Adult Population (Lee-Lee (2016), Barro-Lee (2018) and UNDP (2018));Child mortality rate - Sex: all - Age: 0-4 - Variant: estimates;Mean years of schooling, women (in reproductive age 15 to 49) (Our World In Data (2017));Population (historical estimates);Continent;Literacy rate, adult total (% of people ages 15 and above);;;
Iraq;IRQ;1965;;58;0,4;14,59023;0,3936054;8270548;Asia;;;;
Iraq;IRQ;1970;;55;0,65;11,42692;0,6868461;9811356;Asia;;;;
Iraq;IRQ;1975;;79;1,02;9,13555;1,063497;11617631;Asia;;;;
Iraq;IRQ;1985;;86;2,27;6,1430597;2,317815;15753858;Asia;;;;
Iraq;IRQ;1990;;94;3,19;8,09104;3,313851;17658384;Asia;;;;
Iraq;IRQ;1995;;68,8;4,2;4,96017;4,055729;20948856;Asia;;;;
Iraq;IRQ;2000;;84,2;5;4,45393;4,933194;24628860;Asia;74,05220032;;;
Iraq;IRQ;2005;;95,7;5,8;4,00562;5,551258;28698688;Asia;;;;
Iraq;IRQ;2010;;97,1;6,4;3,53025;6,675963;31264880;Asia;;;;
Ireland;IRL;1950;;100;6,09;5,32108;6,906892;2906608;Europe;;;;
Ireland;IRL;1955;;100;6,29;4,24469;7,203333;2886375;Europe;;;;
Ireland;IRL;1960;;75,4;6,54;3,37215;7,537031;2811075;Europe;;;;
Ireland;IRL;1965;;74;6,87;2,8313801;7,937779;2852404;Europe;;;;
Ireland;IRL;1970;;92;7,01;2,2762399;8,556112;2937647;Europe;;;;
Ireland;IRL;1975;;91;7,63;2,0348601;9,336802;3157921;Europe;;;;
Italy;ITA;1950;;98,6;4,04;8,11396;4,23544;46391944;Europe;;;;
Italy;ITA;1955;;92,7;4,33;6,05888;4,564859;48130728;Europe;;;;
Italy;ITA;1960;;100;4,61;5,18009;4,959822;49517708;Europe;;;;
Italy;ITA;1965;;100;4,88;4,05368;5,421551;51452860;Europe;;;;
Italy;ITA;1980;;96,7;6,19;1,64313;7,358746;56329480;Europe;;;;
Italy;ITA;1990;;92,1;7,29;0,92820996;8,940701;56756560;Europe;;;;
Jamaica;JAM;1950;;100;3,41;12,7741995;3,730742;1407472;North America;;;;
Jamaica;JAM;1955;;100;3,52;10,37938;3,851084;1552891;North America;;;;
Jamaica;JAM;1960;;85,4;3,64;8,27582;4,078824;1642331;North America;;;;
Jamaica;JAM;1965;;100;3,99;6,79988;4,575485;1746983;North America;;;;
Jamaica;JAM;1970;;100;4,43;5,7438097;5,022441;1859094;North America;;;;
Jamaica;JAM;1980;;94;5,26;4,10186;6,305237;2135548;North America;;;;
Japan;JPN;1950;;100;5,91;8,95856;6,419858;84353056;Asia;;;;
Japan;JPN;1955;;100;6,51;5,46006;6,952169;90090280;Asia;;;;
Japan;JPN;1960;;100;6,97;4,00348;7,394242;94464840;Asia;;;;
Japan;JPN;1965;;100;6,94;2,47821;7,597435;99468752;Asia;;;;
Japan;JPN;1970;;99;7,08;1,7655001;8,183952;105416840;Asia;;;;
Japan;JPN;1985;;100;9,25;0,73836005;10,88539;121119024;Asia;;;;
Japan;JPN;1990;;100;9,61;0,63546;11,51753;123686320;Asia;;;;
Japan;JPN;2000;;100;10,7;0,45009;12,56442;126803864;Asia;;;;
Japan;JPN;2005;;100;11,2;0,37737998;12,91246;127798376;Asia;;;;
Japan;JPN;2010;;100;11,5;0,32147;12,94536;128105432;Asia;;;;
Jordan;JOR;1950;;34,5;0,93;27,46702;0,6386526;438397;Asia;;;;
Jordan;JOR;1955;;65,3;1,21;20,825039;0,8262445;622015;Asia;;;;
Jordan;JOR;1960;;68,9;1,42;15,52043;1,176992;847944;Asia;;;;
Jordan;JOR;1965;;85;1,78;11,624109;1,543202;1093482;Asia;;;;
Jordan;JOR;1980;;93;3,06;5,5058203;3,263287;2216908;Asia;;;;
Jordan;JOR;1985;;91,6;4,07;4,355;4,575636;2751501;Asia;;;;
Jordan;JOR;1990;;91;5,25;3,54864;5,808413;3480591;Asia;;;;
Jordan;JOR;1995;;89,3;9,3;3,05719;6,969746;4458201;Asia;;;;
Jordan;JOR;2000;;100;9,5;2,65623;8,124701;5056172;Asia;;;;
Jordan;JOR;2005;;100;9,7;2,2971902;9,245535;5678541;Asia;91,13075256;;;
Kenya;KEN;1950;;34,7;0,91;30,407282;0,6277072;5774050;Africa;;;;
Kenya;KEN;1955;;36,8;1,07;25,22677;0,7151471;6558872;Africa;;;;
Kenya;KEN;1960;;41,6;1,21;19,6949;0,8843597;7751440;Africa;;;;
Kenya;KEN;1965;;47,7;1,28;16,661701;0,9981965;9417211;Africa;;;;
Kenya;KEN;1970;;51,3;1,45;15,061991;1,317469;11473096;Africa;;;;
Kenya;KEN;1990;;78,6;3,72;10,1246;3,734478;23162270;Africa;;;;
Kenya;KEN;1995;;73,9;4,5;11,05608;4,458177;26878350;Africa;;;;
Kuwait;KWT;1950;;45;1,18;22,55204;0,6220549;153754;Asia;;;;
Kuwait;KWT;1955;;64,6;1,66;18,72662;0,881162;183469;Asia;;;;
Kuwait;KWT;1960;;55;2,1;14,108749;1,39011;305422;Asia;;;;
Kuwait;KWT;1965;;52;2,63;9,83509;1,955073;513847;Asia;;;;
Kuwait;KWT;1970;;61;2,9;7,01938;2,56324;802791;Asia;;;;
Kuwait;KWT;1990;;69,8;5,51;1,8274;6,010982;1674942;Asia;;;;
Kuwait;KWT;1995;;70,8;5,8;1,41504;6,233217;1655228;Asia;78,39550018;;;
Kuwait;KWT;2000;;100;6,2;1,2599399;6,522207;1934910;Asia;;;;
Kuwait;KWT;2010;;100;6,8;1,05405;7,008118;2943364;Asia;94,4690094;;;
Lesotho;LSO;1950;;59;2,14;24,35035;3,019294;579478;Africa;;;;
Lesotho;LSO;1955;;63;2,4;20,94809;3,318274;641362;Africa;;;;
Lesotho;LSO;1960;;60;2,66;18,69742;3,603207;737851;Africa;;;;
Lesotho;LSO;1965;;68;2,78;18,81657;3,898015;860224;Africa;;;;
Lesotho;LSO;1970;;68;3,18;17,801159;4,297053;1023493;Africa;;;;
Lesotho;LSO;1975;;66;3,41;15,540871;4,714502;1216193;Africa;;;;
Lesotho;LSO;1980;;66;3,69;12,38588;5,111897;1407685;Africa;;;;
Lesotho;LSO;1990;;70;4,66;8,39471;6,145027;1799004;Africa;;;;
Lesotho;LSO;2010;;88;5,6;9,67978;7,05163;2022752;Africa;;;;
Liberia;LBR;1950;;15,9;0,57;31,00116;0,2768156;915910;Africa;;;;
Liberia;LBR;1955;;19,2;0,57;30,62003;0,2902918;1013794;Africa;;;;
Liberia;LBR;1960;;27,6;0,57;31,23431;0,3262068;1137030;Africa;;;;
Liberia;LBR;1965;;36,5;0,77;30,68566;0,4382083;1287325;Africa;;;;
Liberia;LBR;1970;;49,8;0,99;28,588959;0,5501002;1463571;Africa;;;;
Liberia;LBR;1975;;55,2;1,17;26,26917;0,7650201;1671636;Africa;;;;
Liberia;LBR;1980;;67,6;1,54;24,383709;1,004838;1932174;Africa;;;;
Liberia;LBR;1985;;35,6;2,03;24,18547;1,304757;2239733;Africa;;;;
Liberia;LBR;1990;;55;2,6;26,40853;1,614228;2209737;Africa;;;;
Liberia;LBR;1995;;60;3,1;25,394701;1,813213;2142429;Africa;;;;
Liberia;LBR;2000;;100;3,5;18,962309;2,204974;2895229;Africa;;;;
Liberia;LBR;2005;;87,4;3,8;12,95536;2,635418;3266326;Africa;;;;
Liberia;LBR;2010;;94,5;4,1;9,96193;3,166952;4019958;Africa;;;;
Libya;LBY;1950;;14,9;0,39;37,94859;0,0359618;1130680;Africa;;;;
Libya;LBY;1955;;28,7;0,42;37,44954;0,0513078;1225697;Africa;;;;
Libya;LBY;1960;;45,2;0,54;29,8854;0,0786711;1426984;Africa;;;;
Libya;LBY;1965;;57,9;0,63;20,34781;0,1803825;1700074;Africa;;;;
Libya;LBY;1970;;90,1;1;13,954249;0,356545;1909179;Africa;;;;
Libya;LBY;1975;;100;1,33;9,6822405;0,7311707;2291850;Africa;;;;
Libya;LBY;1980;;100;2,23;7,21969;1,999862;2962724;Africa;;;;
Libya;LBY;1985;;86,2;3,19;5,5788503;3,414335;3684318;Africa;;;;
Libya;LBY;1990;;93;3,81;4,25593;4,490731;4236988;Africa;;;;
Libya;LBY;1995;;95,6;4,7;3,37375;5,54574;4733065;Africa;;;;
Libya;LBY;2000;;97,1;5,6;2,8691201;7,065709;5154789;Africa;;;;
Libya;LBY;2005;;98,1;6,4;2,35874;8,396339;5837994;Africa;;;;
Libya;LBY;2010;;98,9;7,3;1,69349;9,807397;6491991;Africa;;;;
Luxembourg;LUX;1950;;100;2,68;4,22332;4,499338;296589;Europe;;;;
Luxembourg;LUX;1955;;93,2;3,45;4,2226;5,585708;305521;Europe;;;;
Luxembourg;LUX;1960;;100;4,15;3,4811;6,439005;314170;Europe;;;;
Luxembourg;LUX;1965;;100;5,01;2,9626899;6,918914;329793;Europe;;;;
Luxembourg;LUX;1985;;76,7;8,58;1,54082;8,785268;366471;Europe;;;;
Luxembourg;LUX;1990;;75;8,92;1,09602;9,115874;381275;Europe;;;;
Luxembourg;LUX;2000;;95;10,3;0,82003003;9,856388;435634;Europe;;;;
Luxembourg;LUX;2005;;96,6;11,3;0,62179;10,57241;464868;Europe;;;;
Luxembourg;LUX;2010;;93,3;11,8;0,42654;11,32367;507075;Europe;;;;
Malawi;MWI;1950;;60;0,78;38,79345;0,6075627;2949747;Africa;;;;
Malawi;MWI;1955;;58,1;0,82;37,86034;0,6463031;3240320;Africa;;;;
Malawi;MWI;1960;;48,3;0,9;36,43803;0,6804817;3621087;Africa;;;;
Malawi;MWI;1965;;31,7;0,94;35,445763;0,7820043;4089102;Africa;;;;
Malawi;MWI;1970;;32,5;1,2;34,48648;1,003605;4625145;Africa;;;;
Malawi;MWI;1980;;44;1,75;25,76585;1,793802;6267373;Africa;;;;
Malawi;MWI;1985;;46;2,08;25,34985;2,281965;7625083;Africa;;;;
Malawi;MWI;2005;;100;3,4;11,014689;3,942072;12755647;Africa;;;;
Malaysia;MYS;1950;;67;1,79;16,70616;0,8791236;5972878;Asia;;;;
Malaysia;MYS;1955;;52,3;2,03;12,6658;1,104124;6786083;Asia;;;;
Malaysia;MYS;1960;;96;2,26;9,37939;1,53056;7833788;Asia;;;;
Malaysia;MYS;1965;;90;2,63;6,8422403;2,1498;9091017;Asia;;;;
Malaysia;MYS;1970;;87;3,02;5,5483003;3,022031;10306509;Asia;;;;
Malaysia;MYS;1975;;91;3,72;4,2189703;3,910132;11617957;Asia;;;;
Malaysia;MYS;1990;;93;6,53;1,66343;7,692077;17517060;Asia;;;;
Malaysia;MYS;2005;;100;7,6;0,82224;10,6149;25923540;Asia;;;;
Mali;MLI;1950;;3,6;0,09;45,34072;0,0678591;4694920;Africa;;;;
Mali;MLI;1955;;4,9;0,1;43,6185;0,0777389;5014683;Africa;;;;
Mali;MLI;1960;;6,7;0,13;42,694603;0,0898107;5346797;Africa;;;;
Mali;MLI;1965;;16;0,15;41,4415;0,1194862;5726385;Africa;;;;
Mali;MLI;1970;;15;0,2;38,49346;0,1413818;6153586;Africa;;;;
Mali;MLI;1975;;18;0,23;34,72622;0,2205557;6687296;Africa;;;;
