Name;Code;Year;Deaths - Cause: All causes - Risk: Outdoor air pollution - OWID - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Diet high in sodium - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Diet low in whole grains - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Alcohol use - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Diet low in fruits - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Unsafe water source - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Low birth weight - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Child wasting - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Diet low in nuts and seeds - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Household air pollution from solid fuels - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Diet low in vegetables - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Smoking - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Unsafe sanitation - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: No access to handwashing facility - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Drug use - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Discontinued breastfeeding - Sex: Both - Age: All Ages (Number);Deaths - Cause: All causes - Risk: Non-exclusive breastfeeding - Sex: Both - Age: All Ages (Number)
Philippines;PHL;1990;10950;8399;3833;21230;2468;19327;30131;35606;656;32247;2661;41358;43170;12057;7322;500;673;4722
Poland;POL;1990;38411;23907;29424;18817;11951;57;3762;429;12564;13595;4006;93767;51815;27;107;1214;5;90
Portugal;PRT;1990;4009;1384;3900;9288;1732;20;528;165;1165;587;604;14040;4584;14;52;452;2;23
Puerto Rico;PRI;1990;470;454;1098;1724;448;14;542;66;58;2;585;2469;472;1;101;95;0;7
Qatar;QAT;1990;176;9;70;18;6;2;111;12;9;1;2;110;176;1;2;5;0;2
Region of the Americas (WHO);;1990;215612;89770;179421;225679;76959;94454;198399;164233;33758;140081;64995;882018;353832;61229;44756;35291;5345;40604
Romania;ROU;1990;19064;32018;13594;17437;5926;239;1544;2618;8005;13100;1290;45200;31878;165;312;1566;16;586
Russia;RUS;1990;122575;58265;112683;106953;54756;887;12168;3909;53957;13757;22435;259268;135823;774;815;10218;84;1075
Rwanda;RWA;1990;1195;1501;611;7295;22;13803;8061;17293;229;13100;790;4439;14256;9997;8303;36;165;922
Saint Kitts and Nevis;KNA;1990;12;11;20;20;17;6;14;9;2;10;11;24;23;3;3;1;0;1
Saint Lucia;LCA;1990;38;17;37;56;6;8;42;14;5;49;18;73;87;6;5;1;0;2
Saint Vincent and the Grenadines;VCT;1990;29;13;34;23;14;9;37;19;5;36;15;39;65;6;6;1;0;2
Samoa;WSM;1990;25;9;40;23;26;10;35;18;2;134;30;184;159;3;3;6;0;2
San Marino;SMR;1990;6;3;6;9;2;0;1;0;1;0;1;31;6;0;0;1;0;0
Sao Tome and Principe;STP;1990;18;8;13;35;7;96;69;175;1;156;10;23;173;71;67;0;1;18
Saudi Arabia;SAU;1990;4691;450;2605;609;629;1888;8134;2719;1164;4576;625;4275;9196;1421;705;148;59;478
Scotland;;1990;2786;860;3739;1532;1776;1;230;17;2169;8;1171;19019;2788;0;42;203;0;2
Senegal;SEN;1990;1430;451;700;719;695;12121;9405;13995;18;9678;483;2281;11089;9140;6092;20;163;1985
Serbia;SRB;1990;9616;12103;5410;5307;1991;15;1503;212;2085;6833;1433;19805;16357;7;24;445;1;51
Seychelles;SYC;1990;23;33;13;24;10;4;15;4;3;5;11;76;29;3;2;2;0;0
Sierra Leone;SLE;1990;816;296;395;1597;397;6849;6818;11694;12;8972;335;2032;9775;5141;4513;8;94;1811
Singapore;SGP;1990;1161;748;483;198;254;9;114;30;168;69;155;2723;1226;5;33;37;0;8
Slovakia;SVK;1990;5834;6694;3742;3652;1703;7;459;92;1491;206;1085;10915;6026;2;32;297;0;16
Slovenia;SVN;1990;1370;1729;658;1843;235;1;79;8;250;269;241;3115;1626;1;5;118;0;1
Solomon Islands;SLB;1990;25;79;122;24;91;259;151;211;40;754;98;540;779;203;79;18;1;21
Somalia;SOM;1990;322;1181;524;403;809;10131;7449;26318;135;16064;679;2918;16380;7674;7135;31;222;2574
South Africa;ZAF;1990;12634;2256;2335;21927;4209;17503;17904;24214;1828;13383;2306;29791;25962;11795;10947;1227;650;5938
South Asia (WB);;1990;393415;103098;148046;194363;163906;1156404;1384438;1201608;88978;1459653;104268;858498;1813501;880636;489444;35592;8258;131279
South Korea;KOR;1990;18288;14152;4147;29331;5718;196;2244;531;1895;556;575;41631;18780;115;141;954;9;67
South Sudan;SSD;1990;935;868;334;480;318;5747;7662;18443;44;9997;372;1867;10887;4337;4670;27;27;1571
South-East Asia Region (WHO);;1990;430457;183637;146673;232844;192886;1197496;1323468;1269992;81625;1526147;120375;1004523;1919740;914380;493790;40431;8046;150651
Spain;ESP;1990;14826;2727;13108;23964;2286;16;1191;175;2029;1627;1215;65118;16349;16;102;1378;1;23
Sri Lanka;LKA;1990;3003;4934;2775;3758;2092;2381;3341;1765;177;9832;1986;10452;12826;1854;974;249;10;102
Sub-Saharan Africa (WB);;1990;87226;47948;45840;176589;44189;837048;655150;1252028;12517;824011;37898;176383;909081;625890;489016;8193;11243;176123
